AA,American Airlines
CO,Continental Airlines,Inc.
DL,Delta Airlines Inc.
N7,National Airlines Inc.
NW,Northwest Airlines Inc.
AC,Air Canada
TW,Trans World Airlines Inc.
UA,United Airlines,Inc.
CP,Canadian Airlines International
5U,L.A.D.E. Líneas Aéreas del Estado
FX,Federal Express Corp. (FedEX)
AS,Alaska Airlines Inc.
7Q,Air Venezuela L.T.A.
US,US Airways
RG,Varig S.A.
AR,Aerolíneas Argentinas
LA,Lan Chile S.A.
TP,TAP – Air Portugal
CY,Cyprus Airways
DR,Mediterranean Air Service
OA,Olympic Airways
LB,Lloyd Aero Boliviano (LAB)
EI,Aer Lingus Cargo
AZ,Alitalia – Linee Aeree Italiane
AF,Air France
IC,Indian Airlines
SB,Air Caledonie International
OK,CSA Cxech Airlines
SV,Saudi Arabian Airlines
TM,LAM – Linhas Aereas Mocambique
MJ,Lineas Aereas Privadas Argentinas
RB,Syrian Arab Airlines
ET,Ethiopian Airlines Enterprise
GF,Gulf Air Company G.S.C.
IA,Iraqi Airways
KL,KLM Royal Dutch Airlines
IB,Iberia Líneas Aéreas de España
ME,Middle East Airlines AirLiban
MS,Egyptair
PR,Philippine Airlines Inc.
LO,LOT – Polish Airlines
QF,Qantas Airways Ltd.
SN,SABENA
SA,South African Airways
SR,Swiss Air Transport Co. (Swissair)
NZ,Air New Zealand Ltd.
WT,Nigeria Airways Ltd.
AN,Ansett Australia
DP,Air 2000 Ltd.
RK,Air Afrique
WG,Wasaya Airways Ltd.
6A,AVIACSA
IR,Iran Air
AI,Air India Ltd.
JQ,Air Jamaican Express Ltd.
FI,Icelandair
L9,Air Mali S.A.
AO,Aviación Y Comercio S.A. (Aviaco)
CK,China Cargo Airlines Ltd.
LY,EL AL Israel Airlines Ltd.
JU,Jugoslovenski Aerotransporr (JAT)
SK,Scandinavian Airlines System (SAS)
DT,TAAG Linhas Aereas de Angola
AH,Air Algerie
BA,British Airways P.L.C.
MP,Martinair Holland N.V.
UK,KLM uk Ltd.
JL,Japan Airlines Company
MX,Mexicana de Aviación
LR,Lineas Aereas Costarricenses
AV,Avianca
VT,Air Tahiti
CU,Cubana de Aviación S.A.
VX,Aerolíneas Centrales de Colombia
HG,Haiti International Airlines
AM,Aeroméxico
AU,Cielos del Sur/Austral Líneas Aéreas
UC,Ladeco S.A./Ladeco Airlines
AT,Royal Air Maroc
LN,Jamahiriya Libyan Arab Airlines
LG,Luxair
VH,Aeropostal Alas de Venezuela
ES,DHL International E.C.
EH,SAETA Soc Ecuatoriana de Ttes Aereos
QR,Qatar Airways (W.L.L.)
ND,Airlink Limited
CX,Cathay Pacific Airways
PH,Polynesian Limited
JP,Adria Airways
GE,Trans Asia Airways
CV,Cargolux Airlines International
HA,Hawaiian Airlines
MR,Air Mauritanie
EK,Emirates
KE,Korean Air Lines Co. Ltd.
TY,Air Caledonie
TA,TACA International Airlines
NH,All Nippon Airways Co. Ltd.
PL,Aeroperu
PK,Pakistan International Airlines
LH,Deutsche  Lufthansa AG
KU,Kuwait Airways
CM,COPA
MH,Malaysian Airlines System Berhad
JD,Japan Air System Company
TK,Turkish Airlines
BD,British Midland Airways Ltd.
A4,Southern Winds S.A.
7F,Finnair Air
FJ,Air Pacific Ltd.
EQ,TAME Linea Aerea Del Ecuador
FS,Servicios de Ttes Aereos Fueguinos
T2,Thai Air Cargo Co. Ltd.
PU,PLUNA
CI,China Airlines
EU,Ecuatoriana de Aviación S.A.
VP,VASP
KM,Maersk Air
UN,Japan Transocean Air Co. Ltd.
HP,America West Airlines Inc.
PO,Polair Air Cargo,Inc.
JW,Arrow Air Inc.
5X,UPS
ER,DHL Airways
D7,Dinar Lineas Aéreas S.A.
9E,Express Airlines Inc.
5Z,Airfreight Express Ltd.
WO,World Airways
ZV,Air Midwest
BN,Forward Air International Airlines
DH,Atlantic Coast Airlines/United Exp.
8G,Gulf & Caribbean Cargo
EZ,Evergreen International Airlines
ZN,Eagle Airlines Luftverkehrsges
A2,Cielos del Peru S.A.
E4,Aero Asia International Ltd.
LP,Lan Peru S.A.
BL,Pacific Airlines Co. Ltd.
FC,Falcon Express Cargo Airlines
SU,Aeroflot
EB,Emery Worldwide Airlines Inc.
3Q,China Yunnan Airlines
RS,Intercontinental de Aviación
HF,Hapag Lloyd Fluggesellschaft
SQ,Singapore Airlines
F6,China National Aviation Corp.
TR,Transbrasil S.A. Linhas Aereas
PE,Air Europe S.p.A.
JK,Spanair S.A.
CL,Lufthansa CityLine GmbH
EG,Japan Asia Airways Co.Ltd.
PZ,TAM S.A.
BR,EVA Airways Corporation
5C,C.A.L. Cargo Airlines
VB,Maersk Air Ltd.
JO,JALways Co. Ltd.
YU,Aerolíneas Dominicanas S.A.
MF,Xiamen Airlines Company
EL,Air Nippon Co.
FM,Shangai Airlines
XW,China Xinhua Airlines
MU,China Eastern Airlines
CJ,China Northern Airlines
WH,China Northwest Airlines
CZ,China Southern Airlines
SZ,China Southwest Airlines
XT,KLM Exel
GB,ABX Air Inc.
MY,Aerotransportes Mas de Carga
KK,TAM Transportes Aereos Regionais
ML,Olympic Aviation S.A.
N6,Aero Continente
KZ,Nippon Cargo Airlines
ZQ,Ansett New Zealand
VW,Transportes Aeromar
JJ,TAM Ttes. Aereos Meridionais
BX,Coast Air K.S.
D5,DHL Aero Expresso
UX,Air Europa Lineas Aereas
CA,Air China International Corp.
